ingredient,calories,protein,carbs,fiber,sugar,saturated_fat,unsaturated_fat
quinoa,360,14.0,64.0,7.0,0.9,0.7,5.3
chicken breast,165,31.0,0.0,0.0,0.0,1.0,2.6
salmon,208,20.0,0.0,0.0,0.0,3.1,9.9
merluza,90,18.0,0.0,0.0,0.0,0.2,0.8
egg,68,6.0,0.5,0.0,0.4,1.6,3.4
turkey breast,130,29.0,0.0,0.0,0.0,0.3,0.7
chickpea pasta,360,32.0,50.0,10.0,1.2,0.4,3.1
lentils,116,9.0,20.0,8.0,1.0,0.1,0.3
broccoli,35,2.5,7.0,3.0,1.5,0.1,0.3
cauliflower rice,25,2.0,5.0,2.0,1.0,0.1,0.2
tomato puree,40,1.8,7.0,2.0,3.2,0.1,0.1
parmesan cheese,80,7.0,0.6,0.0,0.1,3.8,1.7
olive oil,120,0.0,0.0,0.0,0.0,2.0,12.0
avocado,160,2.0,8.5,6.7,0.2,2.1,12.9
dia lactea protein,61,10,5,0,5,0.1,0
mayonnaise,653.0,0.8,1.6,0.0,1.3,7.4,63.6
